BOMCode,MachineModel,Version,ItemCode,ItemName,SubAssemblyTag,QtyPerMachine,Unit,ScrapPercent,EstHoursPerUnit
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,4110006700,EJECTOR MANIFOLD NG6,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,4110006800,PRESSURE MANIFOLD BG06,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,4110012600,EJECTOR ROD - 110 TON,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,4110012700,NOZZLE CYLINDER EXTENSION ROD 110-420,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,4110007100,NOZZLE CYLINDER EXTENSION ROD MTG,110-420,2.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,4110007200,NOZZLE CYLINDER EXTENSION ROD MTG BUSH,110-420,2.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,4110007300,NOZZLE CYLINDER STOP LIMIT SWITCH OPERATING PIN,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,4110007400,NOZZLE CYLINDER STOP SLIDER,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,4110007500,INJECTION UNIT SETTING BLOCK,110-420,2.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,4110007600,INJECTION FRAME MTG BOLT M27 X 35LG,110-420,4.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,4110007700,INJECTION GUARD MTG STUD,110-420,4.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,4110012800,CROSS HEAD LIMIT SWITCH OPERATING PIN-110,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,4110007900,MOLD HEIGHT STOP LIMIT SWITCH OPERATING PIN-90 TON,110-420,2.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,4110012900,INJECTION MANIFOLD MTG PLATE - 420,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,4110013000,INJECTION MANIFOLD MTG STRIP - 420,110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,4110008200,GREASE PUMP MOUNTING PLATE,110-420,1.0,NOS,0.0,0.5
