BOM Code,Machine Model / Assembly Name,Version,Sub-Assembly Block,Item / Part Code,Old Item Code,Item Description,Category,BOM Qty Per Machine,Unit,Lead Time Days,Scrap %,Estimated Assembly Hours
BOM-GEC-0008,CASTING-110-420,Rev 1.0,CASTING-110-420,4001007500,11209,DIE HEIGHT MOTOR MTG BRACKET - 90 TON (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0008,CASTING-110-420,Rev 1.0,CASTING-110-420,4001009800,-,BARREL PLATE - 420 (STOCK-175) (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0008,CASTING-110-420,Rev 1.0,CASTING-110-420,4001011200,-,BEARING HOUSING - 280 (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0008,CASTING-110-420,Rev 1.0,CASTING-110-420,4001012500,-,INJECTION CYLINDER ROD NUT RETAINER - 280 (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0008,CASTING-110-420,Rev 1.0,CASTING-110-420,4001013300,-,INJECTION GUIDE ROD SUPPORT Ø60 - 280 (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0008,CASTING-110-420,Rev 1.0,CASTING-110-420,4001002900,-,EJECTOR PLATE  TOGGLE - 90 TON (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0008,CASTING-110-420,Rev 1.0,CASTING-110-420,4001013500,-,HEAT EXCHANGER FRONT CAP - 90 TON (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0008,CASTING-110-420,Rev 1.0,CASTING-110-420,4001013600,-,HEAT EXCHANGER END CAP - 90 TON (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0008,CASTING-110-420,Rev 1.0,CASTING-110-420,,-,,MC,1.0,NOS,10,0,2.5
BOM-GEC-0009,CASTING-140-635,Rev 1.0,CASTING-140-635,4001000300,13201,STATIONARY PLATE TOGGLE - 140 TON (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0009,CASTING-140-635,Rev 1.0,CASTING-140-635,4001001400,13202,MOVING PLATE  TOGGLE - 140 TON (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0009,CASTING-140-635,Rev 1.0,CASTING-140-635,4001002500,13203,END PLATE - 140 TON (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0009,CASTING-140-635,Rev 1.0,CASTING-140-635,4001003800,13204,CROSS HEAD - 140 TON (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0009,CASTING-140-635,Rev 1.0,CASTING-140-635,4001004400,13207,CROSS HEAD LINK - 140 TON (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0009,CASTING-140-635,Rev 1.0,CASTING-140-635,4001005000,13205,BINARY LINK - 140 TON (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0009,CASTING-140-635,Rev 1.0,CASTING-140-635,4001005600,13206,TERNARY LINK - 140 TON (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0009,CASTING-140-635,Rev 1.0,CASTING-140-635,4001006500,13208,SUN GEAR - 140 TON (MODULE-3 TEETH-197) (CASTING),RM,1.0,NOS,18,0,2.5
BOM-GEC-0009,CASTING-140-635,Rev 1.0,CASTING-140-635,4001007100,13209,GEAR NUT RETAINER - 140 TON (CASTING),RM,1.0,NOS,18,0,2.5
